seed,baseline_MAE,baseline_RMSE,baseline_median_AE,augmented_MAE,augmented_RMSE,augmented_median_AE,mult_mean,mult_min,mult_max,train_rows_aug
0,3.114136078219426,21.131884182131355,0.21508830126766304,3.1200421024630427,21.07601592183358,0.2163187614987483,1.0886430806019427,0.4839421738555064,2.3897354024133977,385986
1,3.1280278727937203,21.325208498025507,0.21264256609868532,3.1712897983020896,21.497109683688553,0.2116095809763406,1.0580525868197108,0.4456282851690675,2.05645868563742,385986
2,3.0800506660835434,21.112053893111018,0.217134922878373,3.105213050020961,21.080130220945335,0.21484237306739304,1.054475179488683,0.4867736494891883,2.4289541969352517,385986
3,3.143883752425255,21.43891508924024,0.21832770553175174,3.139618831465666,21.596711607725766,0.21671621636378952,1.021905068493247,0.48357321822388444,2.4772921502712872,385986
4,3.092739615655728,21.02576985072638,0.21383477984283922,3.1311501161686346,21.130070083259643,0.21483172307786125,1.0879178695543608,0.44524931277744173,2.48404121696153,385986
