item_type,forecast,order_quantity,safety_buffer,tier,policy
BEER,14.193994887024747,12.774595398322273,6.387297699161136,slow-mover,"lean stock, quick reorder"
DUNNAGE,0.01367781824787996,0.012310036423091964,0.003098730275886693,slow-mover,"lean stock, quick reorder"
KEGS,0.011219810466521518,0.010097829419869366,0.0025861470687754884,slow-mover,"lean stock, quick reorder"
LIQUOR,13.364266426847314,12.027839784162582,6.013919892081291,slow-mover,"lean stock, quick reorder"
NON-ALCOHOL,13.26367273758436,11.937305463825924,5.968652731912962,slow-mover,"lean stock, quick reorder"
REF,5.508344013778165,4.957509612400349,2.4787548062001745,slow-mover,"lean stock, quick reorder"
STR_SUPPLIES,5.358850652586204,4.822965587327584,2.411482793663792,slow-mover,"lean stock, quick reorder"
WINE,4.23772174374718,3.813949569372462,1.906974784686231,slow-mover,"lean stock, quick reorder"
